,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2623630,8762870,HV438031,08/19/2012 09:08:00 PM,041XX N KOLMAR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),True,False,1722,17.0,38.0,16.0,08B,1145140.0,1927133.0,2012,02/04/2016 06:33:39 AM,41.956058957,-87.741826386,"(41.956058957, -87.741826386)"
807703,10536997,HZ281071,05/26/2016 06:58:00 PM,087XX S LAFAYETTE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,634,6.0,21.0,44.0,18,1177465.0,1846971.0,2016,06/02/2016 03:54:13 PM,41.735414924,-87.625421748,"(41.735414924, -87.625421748)"
2933266,9259885,HW405341,08/12/2013 11:00:00 PM,052XX S TALMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,923,9.0,14.0,63.0,18,1159594.0,1869783.0,2013,02/04/2016 06:33:39 AM,41.798399125,-87.690269477,"(41.798399125, -87.690269477)"
810323,10529163,HZ271846,05/19/2016 11:00:00 PM,028XX W LYNDALE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1414,14.0,35.0,22.0,14,1157028.0,1914958.0,2016,06/06/2016 03:48:33 PM,41.92241644,-87.698454519,"(41.92241644, -87.698454519)"
6061259,10549596,HZ294946,06/05/2016 08:35:00 PM,063XX S ARTESIAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,825,8.0,15.0,66.0,08B,1161127.0,1862620.0,2016,06/12/2016 03:52:19 PM,41.778711288,-87.684845766,"(41.778711288, -87.684845766)"
2785086,9021187,HW168847,02/24/2013 04:47:00 PM,020XX W ARTHUR AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,2412,24.0,50.0,2.0,24,1161534.0,1943153.0,2013,02/04/2016 06:33:39 AM,41.999692166,-87.681109547,"(41.999692166, -87.681109547)"
3206320,9722076,HX372312,08/02/2014 12:00:00 PM,016XX W FARWELL AVE,0820,THEFT,$500 AND UNDER,OTHER,False,False,2431,24.0,49.0,1.0,06,1163994.0,1945683.0,2014,02/04/2016 06:33:39 AM,42.00658277,-87.67198795,"(42.00658277, -87.67198795)"
3064838,9477361,HX131046,01/28/2014 03:30:00 PM,034XX W 79TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,834,8.0,18.0,70.0,05,1154861.0,1851984.0,2014,02/04/2016 06:33:39 AM,41.7496518,-87.708101004,"(41.7496518, -87.708101004)"
2593170,8714553,HV391098,07/19/2012 09:35:00 PM,011XX W 88TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2222,22.0,21.0,71.0,18,1170040.0,1846439.0,2012,02/04/2016 06:33:39 AM,41.734119413,-87.652639393,"(41.734119413, -87.652639393)"
2970374,9319487,HW463572,09/22/2013 08:30:00 PM,085XX S PRAIRIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,632,6.0,6.0,44.0,05,1179525.0,1848362.0,2013,02/04/2016 06:33:39 AM,41.73918525,-87.617832405,"(41.73918525, -87.617832405)"
